"","MatchName","Set","Latitude","Longitude"
"1","K0024A2","ShrubScrub",34.083974,-118.567312
"2","K0024B2","ShrubScrub",34.084767,-118.570642
"3","K0024C1","ShrubScrub",34.055978,-118.551882
"4","K0026A1","ShrubScrub",32.85396256,-117.2297178
"5","K0026B1","ShrubScrub",32.84961935,-117.2327495
"6","K0026C1","ShrubScrub",32.84636239,-117.2342966
"7","K0026C2","Forest",32.84588,-117.2348
"8","K0028C2","Forest",38.35571,-122.167
"9","K0029A1","ShrubScrub",36.681594,-121.7707
"10","K0029A2","Forest",36.682,-121.7704
"11","K0029B1","Forest",36.68226,-121.7704
"12","K0029B2","Forest",36.68225,-121.7704
"13","K0029C1","Forest",36.6823,-121.7708
"14","K0029C2","Forest",36.68179,-121.7717
"15","K0030A1","Coastal",38.11577,-122.273
"16","K0030B1","Coastal",38.19658,-122.29
"17","K0030C1","Forest",38.35549,-122.1669
"18","K0033A1","Forest",34.447268,-119.73464
"19","K0033A2","Forest",34.447268,-119.73464
"20","K0033B1","Forest",34.447268,-119.73464
"21","K0033B2","Forest",34.447268,-119.73464
"22","K0035A1","Forest",39.59492,-121.5491
"23","K0035A2","Forest",39.59528,-121.5492
"24","K0035B1","Forest",39.59709,-121.5546
"25","K0035B2","Forest",39.59739,-121.554
"26","K0035C1","Forest",39.59357,-121.5538
"27","K0035C2","Forest",39.59365951,-121.554084
"28","K0051A1","Coastal",36.95194,-122.067
"29","K0051A2","Coastal",36.94917,-122.068
"30","K0051B1","Coastal",36.94972,-122.067
"31","K0051C1","Coastal",36.951,-122.066
"32","K0051C2","Coastal",36.951,-122.066
"33","K0052C2","ShrubScrub",36.623,-121.694
"34","K0055A1","Forest",38.16,-121.49
"35","K0055A2","Forest",38.16,-121.49
"36","K0055B1","Forest",38.16,-121.49
"37","K0055B2","Forest",38.16,-121.49
"38","K0055C1","Forest",38.16,-121.49
"39","K0055C2","Forest",38.16,-121.49
"40","K0056B1","ShrubScrub",33.658987,-117.848428
"41","K0056C1","ShrubScrub",33.656143,-117.847153
"42","K0058A1","Forest",37.0041,-122.0565
"43","K0058A2","Forest",37.00402,-122.0564
"44","K0058B1","Forest",37.00462,-122.0685
"45","K0058B2","Forest",37.00494,-122.0689
"46","K0058C1","Forest",37.00992,-122.0664
"47","K0059A1","Forest",36.074829,-121.398553
"48","K0059A2","Forest",36.075678,-121.39782
"49","K0059B2","Forest",36.072166,-121.393265
"50","K0059C1","Forest",36.066657,-121.389241
"51","K0059C2","ShrubScrub",36.066434,-121.389111
"52","K0060A2","ShrubScrub",33.667416,-117.844037
"53","K0060B1","ShrubScrub",33.658987,-117.848428
"54","K0060B2","ShrubScrub",33.657759,-117.846388
"55","K0062A1","Coastal",32.75926,-117.254
"56","K0062C1","Coastal",32.78109,-117.254
"57","K0063B2","Coastal",32.79471,-117.228
"58","K0063C2","Coastal",32.79537,-117.228
"59","K0065A2","ShrubScrub",34.099472,-118.666428
"60","K0065B1","ShrubScrub",34.103507,-118.658957
"61","K0065B2","ShrubScrub",34.091432,-118.655434
"62","K0065C2","ShrubScrub",34.09591,-118.655482
"63","K0068A1","ShrubScrub",34.09403788,-118.5871565
"64","K0068A2","ShrubScrub",34.09177428,-118.5859131
"65","K0068C2","ShrubScrub",34.094999,-118.5870962
"66","K0071A2","ShrubScrub",34.73905,-120.02608
"67","K0071B1","ShrubScrub",34.738989,-120.026449
"68","K0071C1","ShrubScrub",34.738156,-120.026697
"69","K0072A2","ShrubScrub",34.738729,-120.027179
"70","K0072B1","ShrubScrub",34.73978,-120.026401
"71","K0072C1","ShrubScrub",34.740312,-120.025232
"72","K0073A2","ShrubScrub",34.738782,-120.024753
"73","K0074B1","Forest",34.71256,-120.0484
"74","K0075A1","ShrubScrub",34.739812,-120.027295
"75","K0075B1","Forest",34.72456,-120.063
"76","K0075B2","Forest",34.56946,-119.9511
"77","K0076B1","Coastal",32.92825,-117.257
"78","K0076C1","Coastal",32.92543,-117.259
"79","K0078A2","ShrubScrub",34.7545542,-118.4915828
"80","K0078B2","ShrubScrub",34.73707605,-118.4024445
"81","K0078C2","ShrubScrub",34.72107,-118.4129
"82","K0079A2","ShrubScrub",34.73846192,-118.3995184
"83","K0079B2","ShrubScrub",34.75991222,-118.4980611
"84","K0079C2","ShrubScrub",34.76273,-118.4937
"85","K0088A1","Forest",33.80827,-116.778
"86","K0088A2","Forest",33.81002,-116.7752
"87","K0088B1","Forest",33.80827,-116.778
"88","K0088B2","Forest",33.80847,-116.7777
"89","K0088C1","Forest",33.80739,-116.7766
"90","K0088C2","Forest",33.8074,-116.7763
"91","K0090B1","ShrubScrub",36.66502,-121.7541
"92","K0090B2","ShrubScrub",36.66455,-121.758
"93","K0090C2","ShrubScrub",36.66053,-121.753
"94","K0094A1","Forest",38.48356,-122.1489
"95","K0094A2","Forest",38.47697,-122.1427
"96","K0094B1","Forest",38.48345,-122.1492
"97","K0094B2","Forest",38.48276,-122.1515
"98","K0094C1","Forest",38.47699,-122.1431
"99","K0094C2","Forest",38.48287,-122.15109
"100","K0095A1","Forest",36.384,-121.557
"101","K0095A2","Forest",36.38396,-121.5566
"102","K0095B1","Forest",36.37613,-121.5455
"103","K0095B2","Forest",36.37594,-121.5457
"104","K0095C1","Forest",36.36418,-121.5625
"105","K0095C2","Forest",36.36419,-121.5625
"106","K0097A1","Forest",36.855835,-119.096944
"107","K0097A2","Forest",36.85602,-119.0972
"108","K0097B1","Forest",36.8526,-119.0977
"109","K0097B2","Forest",36.8526,-119.0977
"110","K0097C1","Forest",36.84517,-119.1
"111","K0097C2","Forest",36.84497,-119.0999
"112","K0103C1","ShrubScrub",38.56720087,-122.6868281
"113","K0103C2","Forest",38.56674,-122.6869
"114","K0115A1","ShrubScrub",36.680564,-121.776713
"115","K0115C1","ShrubScrub",36.679202,-121.77686
"116","K0116C1","ShrubScrub",36.66089,-121.751369
"117","K0117B1","ShrubScrub",38.86918976,-122.4224144
"118","K0117C2","ShrubScrub",38.8690657,-122.422103
"119","K0119B2","Forest",38.87393,-122.4241
"120","K0119C1","ShrubScrub",38.87313546,-122.4240689
"121","K0126A1","ShrubScrub",32.87601846,-117.2473105
"122","K0126A2","ShrubScrub",32.87628926,-117.2473545
"123","K0126B1","ShrubScrub",32.87688026,-117.2486399
"124","K0126C1","ShrubScrub",32.87652082,-117.2492244
"125","K0126C2","ShrubScrub",32.87572026,-117.2496092
"126","K0127A1","Forest",38.27464,-122.2513
"127","K0127A2","Forest",38.2745,-122.2491
"128","K0127B1","Forest",38.27351,-122.2476
"129","K0127B2","Forest",38.27324,-122.2467
"130","K0127C1","Forest",38.27552,-122.2522
"131","K0127C2","Forest",38.27561,-122.252
"132","K0130A1","ShrubScrub",34.484923,-118.314832
"133","K0130C1","ShrubScrub",34.486867,-118.317127
"134","K0131A2","ShrubScrub",34.175963,-118.473873
"135","K0131B2","ShrubScrub",34.174729,-118.473194
"136","K0131C1","ShrubScrub",34.174036,-118.471033
"137","K0131C2","ShrubScrub",34.17483,-118.471116
"138","K0133A1","Forest",34.13355,-118.4234
"139","K0133A2","Forest",34.13274,-118.4241
"140","K0133B1","Forest",34.13259,-118.4232
"141","K0133B2","Forest",34.13273,-118.4244
"142","K0133C1","Forest",34.13181,-118.4245
"143","K0133C2","Forest",34.13248,-118.4233
"144","K0135C1","ShrubScrub",36.663697,-121.754002
"145","K0136A1","ShrubScrub",38.860449,-122.40753
"146","K0136B1","ShrubScrub",38.860754,-122.407217
"147","K0140A1","Forest",36.68486,-121.7826
"148","K0140A2","Forest",36.68403,-121.7818
"149","K0140B1","Forest",36.68392,-121.7813
"150","K0140B2","Forest",36.68369,-121.7782
"151","K0140C1","Forest",36.68449,-121.7775
"152","K0140C2","Forest",36.68488,-121.7776
"153","K0142A1","Forest",36.67921,-121.7716
"154","K0142A2","ShrubScrub",36.679062,-121.771989
"155","K0142B2","ShrubScrub",36.678393,-121.772092
"156","K0142C2","ShrubScrub",36.679711,-121.77255
"157","K0144A1","ShrubScrub",34.81917,-115.6497
"158","K0144B1","ShrubScrub",34.80944,-115.6322
"159","K0144B2","ShrubScrub",34.81056,-115.6336
"160","K0145A1","ShrubScrub",34.81556,-115.6422
"161","K0145C1","ShrubScrub",34.81667,-115.6331
"162","K0145C2","ShrubScrub",34.81639,-115.6314
"163","K0146A2","ShrubScrub",34.69917,-115.6636
"164","K0146B1","ShrubScrub",34.70306,-115.6642
"165","K0146B2","ShrubScrub",34.66667,-115.6644
"166","K0147A1","ShrubScrub",32.893427,-117.094595
"167","K0147B1","ShrubScrub",32.893948,-117.094633
"168","K0149A1","ShrubScrub",32.898847,-117.074433
"169","K0149B1","ShrubScrub",32.898939,-117.07424
"170","K0149B2","ShrubScrub",32.898931,-117.074229
"171","K0149C2","ShrubScrub",32.897725,-117.080372
"172","K0150B2","ShrubScrub",34.81056,-115.6264
"173","K0154A1","Coastal",34.55456,-120.61
"174","K0154A2","Coastal",34.55453,-120.611
"175","K0154B2","Coastal",34.55508,-120.611
"176","K0155A1","Coastal",37.04535,-122.236
"177","K0155A2","Coastal",37.04601,-122.237
"178","K0155B2","Coastal",37.0456,-122.236
"179","K0156A1","Coastal",36.2806,-121.863
"180","K0156A2","Coastal",36.28085,-121.863
"181","K0156B1","Coastal",36.28131,-121.863
"182","K0156B2","Coastal",36.28077,-121.862
"183","K0157A2","Coastal",33.71326,-118.284
"184","K0157B1","Coastal",33.70909,-118.285
"185","K0157B2","Coastal",33.70937,-118.284
"186","K0158A1","Coastal",33.96641,-118.455
"187","K0158A2","Coastal",33.96689,-118.455
"188","K0158B2","Coastal",33.96545,-118.459
"189","K0158C1","Coastal",33.96516,-118.46
"190","K0159A1","Coastal",34.47073,-120.228
"191","K0159A2","Coastal",34.4707,-120.227
"192","K0159B1","Coastal",34.47118,-120.228
"193","K0159B2","Coastal",34.47087,-120.226
"194","K0159C1","Coastal",34.47151,-120.227
"195","K0159C2","Coastal",34.47108,-120.227
"196","K0160A2","Coastal",35.53389,-121.086
"197","K0160B1","Coastal",35.53386,-121.085
"198","K0161A1","Coastal",38.31637,-123.069
"199","K0161A2","Coastal",38.31708,-123.071
"200","K0161B1","Coastal",38.31649,-123.069
"201","K0161B2","Coastal",38.31755,-123.07
"202","K0161C1","Coastal",38.31117,-123.061
"203","K0161C2","Coastal",38.31309,-123.061
"204","K0162A1","Coastal",39.27192,-123.791
"205","K0162A2","Coastal",39.27412,-123.793
"206","K0162B1","Coastal",39.27235,-123.791
"207","K0162B2","Coastal",39.27457,-123.793
"208","K0162C1","Coastal",39.27409,-123.791
"209","K0162C2","Coastal",39.27419,-123.791
"210","K0166A1","Coastal",32.992665,-117.275115
"211","K0166A2","Coastal",32.995359,-117.275675
"212","K0166B2","Coastal",33.000836,-117.278305
"213","K0166C2","Coastal",33.014913,-117.281737
"214","K0172A1","Coastal",36.60493,-121.869
"215","K0172A2","Coastal",36.60473,-121.869
"216","K0172B1","Coastal",36.6054,-121.869
"217","K0173A2","Coastal",36.61821,-121.941
"218","K0173B1","Coastal",36.61891,-121.942
"219","K0174A1","Coastal",35.35582,-120.863
"220","K0174A2","Coastal",35.35582,-120.863
"221","K0174B1","Coastal",35.35757,-120.858
"222","K0174B2","Coastal",35.35757,-120.858
"223","K0174C1","Coastal",35.35723,-120.857
"224","K0175A1","Coastal",35.35938,-120.862
"225","K0175A2","Coastal",35.35938,-120.862
"226","K0175B1","Coastal",35.35838,-120.855
"227","K0175B2","Coastal",35.35838,-120.855
"228","K0175C1","Coastal",35.35852,-120.864
"229","K0177A1","ShrubScrub",36.679711,-121.77255
"230","K0177A2","Coastal",34.40416,-119.537
"231","K0177B1","Coastal",34.3987,-119.538
"232","K0177B2","Coastal",34.39739,-119.537
"233","K0177C1","Coastal",34.3985,-119.538
"234","K0177C2","Coastal",34.39795,-119.535
"235","K0179A1","Coastal",34.03112,-118.682
"236","K0179B1","Coastal",34.03268,-118.681
"237","K0179C2","Coastal",34.03249,-118.685
"238","K0193A1","Forest",41.0869777,-122.7146
"239","K0193A2","Forest",41.08718,-122.7148
"240","K0193B1","Forest",41.08787,-122.7143
"241","K0193B2","Forest",41.08828,-122.7143
"242","K0193C1","Forest",41.08423,-122.7129
"243","K0193C2","Forest",41.08399,-122.712
"244","K0194A1","Coastal",41.02795,-124.114
"245","K0194A2","Coastal",41.02604,-124.115
"246","K0194B1","Coastal",41.0271,-124.112
"247","K0194B2","Coastal",41.02595,-124.113
"248","K0194C1","Coastal",41.02727,-124.109
"249","K0194C2","Coastal",41.02557,-124.11
"250","K0196A1","Coastal",40.93986,-124.133
"251","K0196B1","Coastal",40.94062,-124.132
"252","K0196C2","Coastal",40.94147,-124.13
"253","K0197A1","ShrubScrub",33.96727508,-117.2858229
"254","K0197A2","ShrubScrub",33.96617767,-117.2849536
"255","K0197B1","ShrubScrub",33.97183062,-117.295955
"256","K0197B2","ShrubScrub",33.97354215,-117.295643
"257","K0197C1","ShrubScrub",33.97375609,-117.2963371
"258","K0209A1","Forest",36.092693,-121.421922
"259","K0209B1","ShrubScrub",36.092955,-121.422941
"260","K0209C1","Forest",36.092879,-121.430085
"261","K0209C2","Forest",36.092945,-121.430357
"262","K0210A2","ShrubScrub",33.80698363,-117.2597203
"263","K0210B1","ShrubScrub",33.80562184,-117.2559505
"264","K0210B2","ShrubScrub",33.8046268,-117.2575318
"265","K0210C1","ShrubScrub",33.80522594,-117.2558524
"266","K0210C2","ShrubScrub",33.80342,-117.2573
"267","K0212B1","Coastal",33.70637,-118.287
"268","K0212C2","Coastal",33.70633,-118.286
"269","K0213C1","Coastal",33.70624,-118.287
"270","K0214B1","Coastal",33.70755,-118.286
"271","K0217A1","Coastal",33.70788,-118.285
"272","K0217B1","Coastal",33.70738,-118.286
"273","K0217C2","Coastal",33.70692,-118.286
"274","K0218A1","Coastal",33.70572,-118.288
"275","K0219A2","Coastal",33.70892,-118.281
"276","K0219B2","Coastal",33.70891,-118.282
"277","K0219C1","Coastal",33.70886,-118.284
